Accident_ID,Date,Time,State,City,Latitude,Longitude,Weather_Condition,Vehicle_Type,Severity,Fatalities,Injuries,Day_of_Week,Month,Source
MORTH23-10045,2023-03-09,17:47,Delhi/NCR,Guwahati,26.16305,91.73359,Clear,Truck/Lorry,Medium,0,0,Thursday,March,MoRTH_Standardized_v2.1
MORTH23-10046,2023-07-12,23:50,Tamil Nadu,Madurai,9.92128,78.13768,Foggy,Two-Wheeler,Critical,3,6,Wednesday,July,MoRTH_Standardized_v2.1
MORTH23-10047,2023-12-28,13:26,Delhi/NCR,Kolkata,22.60266,88.37515,Clear,Auto-Rickshaw,Low,0,1,Thursday,December,MoRTH_Standardized_v2.1
MORTH23-10048,2023-03-27,13:00,Tamil Nadu,Chennai,13.10907,80.28645,Clear,Two-Wheeler,Medium,0,2,Monday,March,MoRTH_Standardized_v2.1
MORTH23-10049,2023-01-23,18:17,Andhra Pradesh,Vijayawada,16.51637,80.64625,Clear,Two-Wheeler,Medium,0,1,Monday,January,MoRTH_Standardized_v2.1
MORTH23-10050,2023-02-16,21:58,Madhya Pradesh,Gwalior,26.23204,78.18287,Clear,Two-Wheeler,Medium,0,0,Thursday,February,MoRTH_Standardized_v2.1
MORTH23-10051,2023-03-10,16:15,Madhya Pradesh,Indore,22.74904,75.83056,Clear,Two-Wheeler,High,0,1,Friday,March,MoRTH_Standardized_v2.1
MORTH23-10052,2023-10-20,17:14,Uttar Pradesh,Kanpur,26.48001,80.32119,Foggy,Others,Medium,0,1,Friday,October,MoRTH_Standardized_v2.1
MORTH23-10053,2023-02-20,19:00,Kerala,Kochi,9.93013,76.27481,Rainy,Others,High,0,4,Monday,February,MoRTH_Standardized_v2.1
MORTH23-10054,2023-10-15,10:29,Karnataka,Bangalore,12.98589,77.59574,Foggy,Two-Wheeler,Critical,3,2,Sunday,October,MoRTH_Standardized_v2.1
MORTH23-10055,2023-06-21,16:16,Madhya Pradesh,Bhopal,23.27588,77.41672,Clear,Two-Wheeler,Medium,0,1,Wednesday,June,MoRTH_Standardized_v2.1
MORTH23-10056,2023-06-20,23:06,Tamil Nadu,Coimbatore,10.98927,76.93725,Clear,Two-Wheeler,High,0,3,Tuesday,June,MoRTH_Standardized_v2.1
MORTH23-10057,2023-02-22,04:32,Karnataka,Mysore,12.27813,76.62903,Clear,Two-Wheeler,Critical,2,6,Wednesday,February,MoRTH_Standardized_v2.1
MORTH23-10058,2023-06-12,14:13,Tamil Nadu,Madurai,9.96067,78.11546,Clear,Two-Wheeler,Medium,0,1,Monday,June,MoRTH_Standardized_v2.1
MORTH23-10059,2023-02-03,19:08,Tamil Nadu,Coimbatore,11.00934,76.99357,Clear,Car/Jeep/Van,Medium,0,1,Friday,February,MoRTH_Standardized_v2.1
MORTH23-10060,2023-05-28,22:55,Tamil Nadu,Coimbatore,11.05268,76.94257,Clear,Others,Medium,0,1,Sunday,May,MoRTH_Standardized_v2.1
MORTH23-10061,2023-08-06,05:03,Delhi/NCR,Kolkata,22.51505,88.33456,Clear,Bus,Low,0,1,Sunday,August,MoRTH_Standardized_v2.1
MORTH23-10062,2023-09-17,12:09,Maharashtra,Nagpur,21.13019,79.00229,Clear,Two-Wheeler,High,0,2,Sunday,September,MoRTH_Standardized_v2.1
MORTH23-10063,2023-11-17,16:17,Karnataka,Mysore,12.27062,76.63088,Foggy,Two-Wheeler,Critical,3,6,Friday,November,MoRTH_Standardized_v2.1
MORTH23-10064,2023-01-10,07:02,Tamil Nadu,Chennai,13.15649,80.29187,Clear,Two-Wheeler,High,0,1,Tuesday,January,MoRTH_Standardized_v2.1
MORTH23-10065,2023-03-14,13:18,Andhra Pradesh,Visakhapatnam,17.67633,83.2102,Clear,Two-Wheeler,Medium,0,0,Tuesday,March,MoRTH_Standardized_v2.1
MORTH23-10066,2023-10-14,14:14,Kerala,Kozhikode,11.23137,75.73163,Clear,Others,Medium,0,2,Saturday,October,MoRTH_Standardized_v2.1
MORTH23-10067,2023-06-16,11:04,Gujarat,Ahmedabad,23.01428,72.59291,Clear,Bus,Low,0,0,Friday,June,MoRTH_Standardized_v2.1
MORTH23-10068,2023-01-10,21:55,Delhi/NCR,Kolkata,22.53173,88.33826,Clear,Car/Jeep/Van,Medium,0,2,Tuesday,January,MoRTH_Standardized_v2.1
MORTH23-10069,2023-03-30,14:39,Tamil Nadu,Coimbatore,10.9856,76.93467,Clear,Two-Wheeler,Medium,0,0,Thursday,March,MoRTH_Standardized_v2.1
MORTH23-10070,2023-02-18,20:18,Telangana,Hyderabad,17.39911,78.53313,Clear,Others,Medium,0,1,Saturday,February,MoRTH_Standardized_v2.1
MORTH23-10071,2023-10-04,11:06,Madhya Pradesh,Indore,22.70927,75.85464,Clear,Two-Wheeler,High,1,1,Wednesday,October,MoRTH_Standardized_v2.1
MORTH23-10072,2023-03-22,19:50,Karnataka,Mysore,12.29088,76.65596,Clear,Bus,Medium,0,0,Wednesday,March,MoRTH_Standardized_v2.1
MORTH23-10073,2023-01-08,13:57,Madhya Pradesh,Indore,22.72659,75.81157,Rainy,Truck/Lorry,Critical,3,3,Sunday,January,MoRTH_Standardized_v2.1
MORTH23-10074,2023-07-27,15:55,Karnataka,Hubli,15.41541,75.20644,Clear,Two-Wheeler,Medium,0,2,Thursday,July,MoRTH_Standardized_v2.1
MORTH23-10075,2023-01-29,11:27,Maharashtra,Pune,18.59316,73.84932,Clear,Two-Wheeler,Medium,0,2,Sunday,January,MoRTH_Standardized_v2.1
MORTH23-10076,2023-01-04,15:18,Karnataka,Hubli,15.3396,75.12074,Rainy,Two-Wheeler,High,0,3,Wednesday,January,MoRTH_Standardized_v2.1
MORTH23-10077,2023-01-31,15:46,Kerala,Thiruvananthapuram,8.51123,76.89461,Foggy,Two-Wheeler,Critical,1,3,Tuesday,January,MoRTH_Standardized_v2.1
MORTH23-10078,2023-06-15,10:26,Andhra Pradesh,Visakhapatnam,17.72903,83.1925,Foggy,Two-Wheeler,Critical,1,2,Thursday,June,MoRTH_Standardized_v2.1
MORTH23-10079,2023-06-30,11:51,Karnataka,Mysore,12.28578,76.63779,Clear,Car/Jeep/Van,Low,0,2,Friday,June,MoRTH_Standardized_v2.1
MORTH23-10080,2023-07-21,20:58,Madhya Pradesh,Indore,22.73681,75.84811,Clear,Car/Jeep/Van,Low,0,2,Friday,July,MoRTH_Standardized_v2.1
MORTH23-10081,2023-08-03,16:13,Delhi/NCR,Kolkata,22.60336,88.39829,Rainy,Others,High,0,3,Thursday,August,MoRTH_Standardized_v2.1
MORTH23-10082,2023-03-08,01:58,Uttar Pradesh,Lucknow,26.83282,80.93273,Clear,Others,Low,0,2,Wednesday,March,MoRTH_Standardized_v2.1
MORTH23-10083,2023-05-08,17:45,Andhra Pradesh,Vijayawada,16.50307,80.65883,Clear,Bus,Low,0,2,Monday,May,MoRTH_Standardized_v2.1
MORTH23-10084,2023-02-08,23:19,Madhya Pradesh,Indore,22.718,75.85538,Clear,Two-Wheeler,Critical,3,4,Wednesday,February,MoRTH_Standardized_v2.1
MORTH23-10085,2023-01-23,20:51,Kerala,Kozhikode,11.24663,75.76465,Clear,Car/Jeep/Van,Low,0,2,Monday,January,MoRTH_Standardized_v2.1
MORTH23-10086,2023-06-02,16:33,Delhi/NCR,Guwahati,26.16599,91.72925,Cloudy,Others,Medium,0,1,Friday,June,MoRTH_Standardized_v2.1
MORTH23-10087,2023-03-18,15:35,Madhya Pradesh,Indore,22.74729,75.85855,Clear,Two-Wheeler,High,0,1,Saturday,March,MoRTH_Standardized_v2.1
MORTH23-10088,2023-02-15,20:32,Telangana,Hyderabad,17.37272,78.53862,Clear,Auto-Rickshaw,Low,0,0,Wednesday,February,MoRTH_Standardized_v2.1
MORTH23-10089,2023-04-07,18:43,Karnataka,Hubli,15.40792,75.10954,Clear,Others,Low,0,1,Friday,April,MoRTH_Standardized_v2.1
MORTH23-10090,2023-05-21,20:29,Tamil Nadu,Coimbatore,10.99937,76.9681,Clear,Two-Wheeler,Medium,0,1,Sunday,May,MoRTH_Standardized_v2.1
MORTH23-10091,2023-10-10,19:41,Karnataka,Mysore,12.27712,76.64967,Cloudy,Truck/Lorry,High,0,2,Tuesday,October,MoRTH_Standardized_v2.1
MORTH23-10092,2023-10-27,17:20,Uttar Pradesh,Kanpur,26.48461,80.30352,Clear,Auto-Rickshaw,Low,0,1,Friday,October,MoRTH_Standardized_v2.1
MORTH23-10093,2023-10-20,08:00,Uttar Pradesh,Kanpur,26.43723,80.2825,Foggy,Bus,High,0,2,Friday,October,MoRTH_Standardized_v2.1
MORTH23-10094,2023-08-03,13:19,Kerala,Kozhikode,11.27283,75.79852,Clear,Car/Jeep/Van,Low,0,2,Thursday,August,MoRTH_Standardized_v2.1
MORTH23-10095,2023-10-14,10:04,Delhi/NCR,Guwahati,26.14267,91.76806,Clear,Two-Wheeler,High,0,3,Saturday,October,MoRTH_Standardized_v2.1
MORTH23-10096,2023-10-26,00:26,Delhi/NCR,Kolkata,22.60004,88.35275,Clear,Two-Wheeler,High,0,2,Thursday,October,MoRTH_Standardized_v2.1
MORTH23-10097,2023-06-10,19:39,Andhra Pradesh,Vijayawada,16.5007,80.62054,Clear,Two-Wheeler,High,0,2,Saturday,June,MoRTH_Standardized_v2.1
MORTH23-10098,2023-09-07,14:19,Madhya Pradesh,Bhopal,23.28606,77.47104,Clear,Two-Wheeler,High,1,2,Thursday,September,MoRTH_Standardized_v2.1
MORTH23-10099,2023-08-20,17:03,Maharashtra,Pune,18.48193,73.8746,Clear,Truck/Lorry,High,0,3,Sunday,August,MoRTH_Standardized_v2.1
MORTH23-10100,2023-01-01,06:24,Uttar Pradesh,Lucknow,26.83419,80.97881,Clear,Car/Jeep/Van,Medium,0,1,Sunday,January,MoRTH_Standardized_v2.1
MORTH23-10101,2023-01-20,04:09,Kerala,Kochi,9.94238,76.28251,Clear,Two-Wheeler,High,1,4,Friday,January,MoRTH_Standardized_v2.1
MORTH23-10102,2023-01-14,10:13,Uttar Pradesh,Agra,27.16394,77.92436,Clear,Two-Wheeler,High,0,1,Saturday,January,MoRTH_Standardized_v2.1
MORTH23-10103,2023-08-03,16:17,Uttar Pradesh,Agra,27.13786,78.0258,Clear,Truck/Lorry,High,0,2,Thursday,August,MoRTH_Standardized_v2.1
MORTH23-10104,2023-11-25,17:30,Kerala,Thiruvananthapuram,8.50938,76.96751,Clear,Auto-Rickshaw,Low,0,2,Saturday,November,MoRTH_Standardized_v2.1
MORTH23-10105,2023-02-09,12:48,Delhi/NCR,Delhi,28.56225,77.22109,Clear,Two-Wheeler,High,0,3,Thursday,February,MoRTH_Standardized_v2.1
MORTH23-10106,2023-05-01,08:57,Madhya Pradesh,Bhopal,23.21728,77.40492,Clear,Truck/Lorry,Low,0,0,Monday,May,MoRTH_Standardized_v2.1
MORTH23-10107,2023-07-12,20:02,Telangana,Hyderabad,17.37072,78.50341,Clear,Truck/Lorry,High,0,3,Wednesday,July,MoRTH_Standardized_v2.1
MORTH23-10108,2023-04-29,10:00,Kerala,Kochi,9.95279,76.22375,Clear,Car/Jeep/Van,Medium,0,0,Saturday,April,MoRTH_Standardized_v2.1
MORTH23-10109,2023-11-12,08:57,Tamil Nadu,Madurai,9.93434,78.11907,Clear,Auto-Rickshaw,Low,0,1,Sunday,November,MoRTH_Standardized_v2.1
MORTH23-10110,2023-02-19,19:22,Madhya Pradesh,Indore,22.72169,75.83839,Clear,Others,Low,0,2,Sunday,February,MoRTH_Standardized_v2.1
MORTH23-10111,2023-05-21,12:54,Maharashtra,Mumbai,19.0378,72.93545,Clear,Two-Wheeler,Medium,0,1,Sunday,May,MoRTH_Standardized_v2.1
MORTH23-10112,2023-03-12,19:42,Maharashtra,Nagpur,21.15226,79.0421,Foggy,Two-Wheeler,Critical,2,4,Sunday,March,MoRTH_Standardized_v2.1
MORTH23-10113,2023-07-18,20:18,Kerala,Thiruvananthapuram,8.5268,76.93617,Clear,Two-Wheeler,High,0,3,Tuesday,July,MoRTH_Standardized_v2.1
MORTH23-10114,2023-02-07,21:07,Gujarat,Ahmedabad,23.03258,72.50915,Clear,Two-Wheeler,High,0,2,Tuesday,February,MoRTH_Standardized_v2.1
MORTH23-10115,2023-12-25,09:00,Maharashtra,Pune,18.60207,73.79138,Clear,Auto-Rickshaw,Medium,0,1,Monday,December,MoRTH_Standardized_v2.1
MORTH23-10116,2023-04-20,14:14,Kerala,Thiruvananthapuram,8.48363,76.96057,Clear,Two-Wheeler,High,0,1,Thursday,April,MoRTH_Standardized_v2.1
MORTH23-10117,2023-05-12,20:12,Gujarat,Ahmedabad,23.01929,72.55138,Clear,Two-Wheeler,Medium,0,0,Friday,May,MoRTH_Standardized_v2.1
MORTH23-10118,2023-03-09,06:48,Delhi/NCR,Delhi,28.61391,77.2779,Clear,Two-Wheeler,High,1,4,Thursday,March,MoRTH_Standardized_v2.1
MORTH23-10119,2023-02-15,06:09,Gujarat,Surat,21.17085,72.8189,Clear,Auto-Rickshaw,Low,0,1,Wednesday,February,MoRTH_Standardized_v2.1
MORTH23-10120,2023-05-27,06:57,Uttar Pradesh,Kanpur,26.46668,80.32196,Rainy,Two-Wheeler,High,1,1,Saturday,May,MoRTH_Standardized_v2.1
MORTH23-10121,2023-03-11,13:35,Delhi/NCR,Kolkata,22.5589,88.37139,Clear,Two-Wheeler,Medium,0,0,Saturday,March,MoRTH_Standardized_v2.1
MORTH23-10122,2023-12-14,20:33,Delhi/NCR,Delhi,28.62937,77.22628,Clear,Two-Wheeler,Medium,0,2,Thursday,December,MoRTH_Standardized_v2.1
MORTH23-10123,2023-06-13,17:05,Delhi/NCR,Delhi,28.65326,77.23707,Rainy,Truck/Lorry,High,0,4,Tuesday,June,MoRTH_Standardized_v2.1
MORTH23-10124,2023-12-13,15:59,Madhya Pradesh,Gwalior,26.25573,78.21936,Foggy,Car/Jeep/Van,High,1,1,Wednesday,December,MoRTH_Standardized_v2.1
MORTH23-10125,2023-06-26,18:40,Delhi/NCR,Kolkata,22.59445,88.35048,Rainy,Car/Jeep/Van,Medium,0,0,Monday,June,MoRTH_Standardized_v2.1
MORTH23-10126,2023-04-02,11:58,Tamil Nadu,Madurai,9.93987,78.1014,Clear,Car/Jeep/Van,Low,0,2,Sunday,April,MoRTH_Standardized_v2.1
MORTH23-10127,2023-05-17,06:26,Delhi/NCR,Kolkata,22.54665,88.38839,Clear,Two-Wheeler,Medium,0,0,Wednesday,May,MoRTH_Standardized_v2.1
MORTH23-10128,2023-01-01,15:24,Delhi/NCR,Delhi,28.60718,77.21238,Clear,Others,Low,0,1,Sunday,January,MoRTH_Standardized_v2.1
MORTH23-10129,2023-03-27,03:59,Telangana,Hyderabad,17.35432,78.46203,Clear,Two-Wheeler,Critical,3,4,Monday,March,MoRTH_Standardized_v2.1
MORTH23-10130,2023-05-14,11:16,Maharashtra,Mumbai,19.05133,72.90197,Clear,Car/Jeep/Van,Low,0,1,Sunday,May,MoRTH_Standardized_v2.1
MORTH23-10131,2023-05-13,20:40,Kerala,Kochi,9.90978,76.2335,Clear,Truck/Lorry,Low,0,0,Saturday,May,MoRTH_Standardized_v2.1
MORTH23-10132,2023-10-20,21:19,Rajasthan,Jodhpur,26.27571,73.08292,Clear,Car/Jeep/Van,Low,0,0,Friday,October,MoRTH_Standardized_v2.1
MORTH23-10133,2023-03-08,13:20,Delhi/NCR,Kolkata,22.59164,88.30195,Clear,Truck/Lorry,Low,0,2,Wednesday,March,MoRTH_Standardized_v2.1
MORTH23-10134,2023-08-05,22:19,Madhya Pradesh,Gwalior,26.25452,78.17414,Clear,Auto-Rickshaw,Medium,0,1,Saturday,August,MoRTH_Standardized_v2.1
MORTH23-10135,2023-11-06,17:44,Telangana,Warangal,17.99136,79.5895,Foggy,Bus,Medium,0,2,Monday,November,MoRTH_Standardized_v2.1
MORTH23-10136,2023-03-26,15:02,Karnataka,Bangalore,12.98607,77.60485,Clear,Two-Wheeler,High,0,1,Sunday,March,MoRTH_Standardized_v2.1
MORTH23-10137,2023-05-27,14:18,Tamil Nadu,Chennai,13.06471,80.26977,Clear,Auto-Rickshaw,Low,0,0,Saturday,May,MoRTH_Standardized_v2.1
MORTH23-10138,2023-06-25,06:02,Madhya Pradesh,Indore,22.71909,75.90552,Clear,Two-Wheeler,High,1,2,Sunday,June,MoRTH_Standardized_v2.1
MORTH23-10139,2023-09-25,20:35,Kerala,Kozhikode,11.27524,75.79571,Clear,Others,Low,0,2,Monday,September,MoRTH_Standardized_v2.1
MORTH23-10140,2023-04-05,06:42,Maharashtra,Mumbai,19.07497,72.85993,Clear,Car/Jeep/Van,Low,0,2,Wednesday,April,MoRTH_Standardized_v2.1
MORTH23-10141,2023-04-01,14:22,Maharashtra,Pune,18.52437,73.8676,Clear,Two-Wheeler,Medium,0,0,Saturday,April,MoRTH_Standardized_v2.1
MORTH23-10142,2023-07-19,04:14,Gujarat,Surat,21.12778,72.87446,Clear,Two-Wheeler,Critical,2,4,Wednesday,July,MoRTH_Standardized_v2.1
MORTH23-10143,2023-11-01,08:39,Uttar Pradesh,Lucknow,26.87902,80.99796,Clear,Two-Wheeler,High,0,4,Wednesday,November,MoRTH_Standardized_v2.1
MORTH23-10144,2023-06-19,04:48,Rajasthan,Jodhpur,26.29741,72.99974,Clear,Others,Medium,0,2,Monday,June,MoRTH_Standardized_v2.1
MORTH23-10145,2023-01-13,14:44,Delhi/NCR,Guwahati,26.16562,91.67577,Rainy,Two-Wheeler,Critical,1,3,Friday,January,MoRTH_Standardized_v2.1
MORTH23-10146,2023-05-17,14:37,Andhra Pradesh,Visakhapatnam,17.65268,83.17981,Rainy,Two-Wheeler,High,0,4,Wednesday,May,MoRTH_Standardized_v2.1
MORTH23-10147,2023-05-19,13:51,Andhra Pradesh,Visakhapatnam,17.73344,83.28103,Clear,Car/Jeep/Van,Low,0,0,Friday,May,MoRTH_Standardized_v2.1
MORTH23-10148,2023-08-21,07:53,Rajasthan,Jaipur,26.93408,75.80377,Clear,Truck/Lorry,High,0,2,Monday,August,MoRTH_Standardized_v2.1
MORTH23-10149,2023-06-01,09:04,Andhra Pradesh,Vijayawada,16.55389,80.70051,Clear,Others,Low,0,2,Thursday,June,MoRTH_Standardized_v2.1
MORTH23-10150,2023-10-04,13:54,Kerala,Kozhikode,11.27404,75.78406,Clear,Others,Low,0,0,Wednesday,October,MoRTH_Standardized_v2.1
MORTH23-10151,2023-11-14,22:17,Madhya Pradesh,Gwalior,26.24157,78.24357,Clear,Two-Wheeler,High,0,1,Tuesday,November,MoRTH_Standardized_v2.1
MORTH23-10152,2023-03-04,03:02,Delhi/NCR,Kolkata,22.57644,88.33771,Cloudy,Car/Jeep/Van,Low,0,1,Saturday,March,MoRTH_Standardized_v2.1
MORTH23-10153,2023-12-06,15:21,Delhi/NCR,Guwahati,26.1589,91.73385,Clear,Car/Jeep/Van,Medium,0,0,Wednesday,December,MoRTH_Standardized_v2.1
MORTH23-10154,2023-12-21,09:02,Andhra Pradesh,Vijayawada,16.51967,80.62052,Clear,Car/Jeep/Van,Low,0,2,Thursday,December,MoRTH_Standardized_v2.1
MORTH23-10155,2023-01-30,01:38,Maharashtra,Mumbai,19.05947,72.89481,Clear,Others,Low,0,0,Monday,January,MoRTH_Standardized_v2.1
MORTH23-10156,2023-04-10,16:45,Madhya Pradesh,Bhopal,23.27865,77.47272,Rainy,Bus,Medium,0,1,Monday,April,MoRTH_Standardized_v2.1
MORTH23-10157,2023-12-03,20:33,Delhi/NCR,Delhi,28.61172,77.21491,Clear,Two-Wheeler,High,1,1,Sunday,December,MoRTH_Standardized_v2.1
MORTH23-10158,2023-05-20,01:21,Telangana,Warangal,17.91818,79.58059,Rainy,Two-Wheeler,Critical,2,4,Saturday,May,MoRTH_Standardized_v2.1
