Date,Time,Location,Latitude,Longitude,Vehicle_Type,Weather,Road_Type,Severity,Day_of_Week,Month,Hour,Is_Fatal
2024-02-05,15:42,Sathy Road,11.02200308132,76.95763170344571,Car/SUV,Rain,National Highway,Serious,Monday,February,15,0
2024-01-24,19:26,Singanallur,11.030957562226904,76.95551755522324,Car/SUV,Clear,State Highway,Serious,Wednesday,January,19,0
2024-12-04,04:23,Karamadai,11.000083798277993,76.94865345551221,Truck,Clear,National Highway,Serious,Wednesday,December,4,0
2024-04-26,16:40,Sathy Road,10.932167092558975,76.92016462657524,Two-Wheeler,Clear,National Highway,Serious,Friday,April,16,0
2024-05-28,12:13,Thudiyalur,11.070450685396956,76.93057574426751,Two-Wheeler,Cloudy,State Highway,Serious,Tuesday,May,12,0
2024-02-10,09:59,Sathy Road,11.052181703219272,76.99470193474784,Auto-Rickshaw,Clear,City Roads,Minor,Saturday,February,9,0
2024-04-29,11:31,Karanampettai,11.094273539603737,76.99892997453772,Pedestrian,Clear,State Highway,Serious,Monday,April,11,0
2024-02-21,08:38,Pollachi Road,10.921992433721247,76.95475840506815,Car/SUV,Clear,State Highway,Fatal,Wednesday,February,8,1
2024-07-13,20:10,Thudiyalur,11.05306246896585,76.90946709169921,Two-Wheeler,Clear,State Highway,Serious,Saturday,July,20,0
2024-05-22,09:35,Singanallur,11.052927881887541,76.93598921410755,Car/SUV,Clear,State Highway,Minor,Wednesday,May,9,0
2024-08-20,12:53,Karamadai,10.995633960553345,77.04003704473767,Car/SUV,Clear,State Highway,Minor,Tuesday,August,12,0
2024-11-21,22:07,Brookefields,11.034867699565215,76.97259652430077,Car/SUV,Rain,State Highway,Fatal,Thursday,November,22,1
2024-07-05,15:31,Trichy Road,11.107043970015749,76.86312089758992,Pedestrian,Clear,State Highway,Minor,Friday,July,15,0
2024-03-24,22:32,Karanampettai,11.084195441716222,76.89970525653196,Pedestrian,Rain,State Highway,Minor,Sunday,March,22,0
2024-07-08,19:53,Brookefields,10.94755509373676,76.89640009934318,Auto-Rickshaw,Clear,State Highway,Fatal,Monday,July,19,1
2024-06-30,13:15,Avinashi Road,10.93301264734899,77.0284336527383,Two-Wheeler,Clear,State Highway,Fatal,Sunday,June,13,1
2024-04-17,12:24,Sathy Road,11.08293984511451,76.93497999508767,Auto-Rickshaw,Clear,State Highway,Fatal,Wednesday,April,12,1
2024-12-09,08:32,Karamadai,11.048707864630007,76.91699980726393,Car/SUV,Clear,State Highway,Minor,Monday,December,8,0
2024-05-16,18:55,Thudiyalur,11.00761110302859,77.03354178590935,Two-Wheeler,Clear,State Highway,Serious,Thursday,May,18,0
2024-12-25,03:21,Sathy Road,11.107840306194602,76.9700740773517,Truck,Clear,National Highway,Serious,Wednesday,December,3,0
2024-12-15,23:17,Periyanaickenpalayam,11.035640851870188,77.04289978139762,Truck,Clear,National Highway,Minor,Sunday,December,23,0
2024-11-27,19:46,Trichy Road,10.91796107214902,76.93062147105712,Pedestrian,Clear,State Highway,Fatal,Wednesday,November,19,1
2024-02-06,11:37,Thudiyalur,11.110754102760325,76.96591039478295,Truck,Clear,State Highway,Minor,Tuesday,February,11,0
2024-11-07,22:55,Race Course Road,11.04803455140347,76.88266606310549,Two-Wheeler,Clear,State Highway,Serious,Thursday,November,22,0
2024-11-21,08:30,Brookefields,11.106979193695041,76.87260562987186,Two-Wheeler,Clear,State Highway,Serious,Thursday,November,8,0
2024-03-28,11:48,Trichy Road,10.981783093660203,76.94470106308285,Two-Wheeler,Clear,State Highway,Minor,Thursday,March,11,0
2024-09-30,16:59,Cross Cut Road,11.063109043466778,76.92611499032702,Two-Wheeler,Clear,National Highway,Serious,Monday,September,16,0
2024-05-05,09:44,Peelamedu,11.063663911907193,76.97259244494609,Two-Wheeler,Clear,Village Roads,Serious,Sunday,May,9,0
2024-03-24,10:14,Thudiyalur,11.108280555827966,76.94885062221327,Truck,Clear,State Highway,Fatal,Sunday,March,10,1
2024-08-24,19:02,Mettupalayam Road,11.030631687166274,76.98002516396102,Car/SUV,Cloudy,National Highway,Serious,Saturday,August,19,0
2024-07-13,10:45,Karanampettai,10.959073372207998,76.94102046871654,Car/SUV,Clear,State Highway,Serious,Saturday,July,10,0
2024-05-18,22:24,Periyanaickenpalayam,10.926536449720796,76.94931019774751,Car/SUV,Clear,City Roads,Serious,Saturday,May,22,0
2024-11-23,23:09,Trichy Road,11.045528805904022,76.9375905550711,Two-Wheeler,Clear,City Roads,Serious,Saturday,November,23,0
2024-12-18,12:08,Peelamedu,10.981434169337373,77.01670089305868,Truck,Clear,State Highway,Fatal,Wednesday,December,12,1
2024-10-12,17:21,Periyanaickenpalayam,10.927907004797161,76.91920408514889,Two-Wheeler,Clear,National Highway,Serious,Saturday,October,17,0
2024-04-22,19:06,Mettupalayam Road,10.930944817809994,76.93227418532479,Car/SUV,Clear,State Highway,Serious,Monday,April,19,0
2024-12-16,16:00,Peelamedu,11.107180037728387,76.8917131462003,Car/SUV,Clear,State Highway,Minor,Monday,December,16,0
2024-06-15,19:55,Sathy Road,10.993078185982332,76.90255807992462,Two-Wheeler,Clear,State Highway,Fatal,Saturday,June,19,1
2024-01-29,15:04,Gandhipuram,10.99657169939155,76.98487097052914,Two-Wheeler,Rain,City Roads,Serious,Monday,January,15,0
2024-04-27,13:21,Peelamedu,10.952402160155893,76.92761858703713,Car/SUV,Clear,National Highway,Serious,Saturday,April,13,0
2024-01-17,16:41,Singanallur,11.109809861962315,76.8722837022044,Two-Wheeler,Rain,National Highway,Serious,Wednesday,January,16,0
2024-06-10,02:54,Thudiyalur,11.089903102145966,77.02432067783738,Bus,Clear,State Highway,Serious,Monday,June,2,0
2024-07-24,20:24,Cross Cut Road,10.93463766153531,76.95835819789566,Car/SUV,Clear,National Highway,Minor,Wednesday,July,20,0
2024-05-17,23:45,Karamadai,11.087269166648719,76.98453087984049,Two-Wheeler,Rain,State Highway,Serious,Friday,May,23,0
2024-02-03,22:55,Pollachi Road,10.94938813677505,77.01297465918724,Car/SUV,Cloudy,National Highway,Minor,Saturday,February,22,0
2024-04-18,17:04,Avinashi Road,11.072698509029145,77.04112118384204,Bus,Clear,State Highway,Fatal,Thursday,April,17,1
2024-10-17,11:58,Cross Cut Road,10.973787177799892,76.87548182194023,Truck,Clear,National Highway,Serious,Thursday,October,11,0
2024-06-10,09:47,Thudiyalur,11.067311713258077,76.87006973545586,Two-Wheeler,Rain,State Highway,Minor,Monday,June,9,0
2024-04-18,06:48,Cross Cut Road,11.047612859764897,76.86345627703969,Truck,Clear,State Highway,Fatal,Thursday,April,6,1
2024-12-01,15:28,Sathy Road,10.940920396820525,76.89586131937169,Truck,Clear,National Highway,Minor,Sunday,December,15,0
2024-09-12,07:57,Periyanaickenpalayam,11.014969019521923,76.89512926457391,Bus,Clear,State Highway,Minor,Thursday,September,7,0
2024-07-21,02:50,Thudiyalur,11.003271683883503,76.92164825851026,Two-Wheeler,Rain,Village Roads,Minor,Sunday,July,2,0
2024-11-25,02:23,Karanampettai,11.07807063918367,76.91634311654748,Two-Wheeler,Rain,State Highway,Minor,Monday,November,2,0
2024-08-22,12:33,Cross Cut Road,10.978820261442266,77.01891295594048,Two-Wheeler,Clear,National Highway,Serious,Thursday,August,12,0
2024-03-14,14:50,Cross Cut Road,11.053792388372889,76.99250786596156,Car/SUV,Clear,State Highway,Fatal,Thursday,March,14,1
2024-05-15,06:05,Sathy Road,10.943057333694464,76.91069291130101,Car/SUV,Clear,State Highway,Minor,Wednesday,May,6,0
2024-03-12,16:39,Sathy Road,11.049904059243369,76.9969285275281,Two-Wheeler,Fog,State Highway,Fatal,Tuesday,March,16,1
2024-05-06,19:58,Pollachi Road,11.083210574864532,77.05539914108792,Truck,Clear,State Highway,Serious,Monday,May,19,0
2024-10-14,15:29,Periyanaickenpalayam,11.019330645131873,77.05548101956695,Truck,Clear,City Roads,Minor,Monday,October,15,0
2024-10-02,16:16,Periyanaickenpalayam,11.014724607165817,77.00627667133239,Two-Wheeler,Rain,State Highway,Minor,Wednesday,October,16,0
2024-05-14,19:57,Brookefields,11.093882607728377,77.00376420118678,Truck,Rain,State Highway,Fatal,Tuesday,May,19,1
2024-10-26,11:10,Race Course Road,11.012087937325953,77.03827650602629,Truck,Clear,State Highway,Minor,Saturday,October,11,0
2024-08-07,02:37,Sathy Road,11.029411415386708,76.85750677568029,Two-Wheeler,Clear,State Highway,Minor,Wednesday,August,2,0
2024-10-25,10:44,Brookefields,11.001414116087886,76.91569483040846,Pedestrian,Fog,City Roads,Serious,Friday,October,10,0
2024-07-23,10:12,Gandhipuram,11.068098128698075,77.02026177117024,Car/SUV,Rain,City Roads,Fatal,Tuesday,July,10,1
2024-07-04,22:06,Gandhipuram,11.078998871922845,77.0124256508184,Truck,Clear,State Highway,Serious,Thursday,July,22,0
2024-04-22,11:22,Pollachi Road,11.039573556688959,76.93656222828896,Truck,Rain,State Highway,Minor,Monday,April,11,0
2024-03-11,17:18,Sathy Road,11.003621184502075,76.93695169677416,Two-Wheeler,Clear,State Highway,Serious,Monday,March,17,0
2024-09-17,05:25,Karamadai,11.00200341976426,76.97179075609118,Two-Wheeler,Clear,State Highway,Serious,Tuesday,September,5,0
2024-09-09,11:55,Mettupalayam Road,10.924887617923828,76.98686170149429,Truck,Cloudy,State Highway,Serious,Monday,September,11,0
2024-02-16,20:03,Karamadai,10.98514896947931,76.950200798759,Two-Wheeler,Clear,State Highway,Minor,Friday,February,20,0
2024-01-25,23:31,Mettupalayam Road,11.00950497512287,76.95832939461063,Auto-Rickshaw,Clear,State Highway,Serious,Thursday,January,23,0
2024-02-26,19:49,Race Course Road,10.961646042465583,77.00803210744782,Truck,Clear,National Highway,Minor,Monday,February,19,0
2024-03-19,20:51,Peelamedu,11.054047307171874,76.88565622862795,Two-Wheeler,Clear,State Highway,Minor,Tuesday,March,20,0
2024-11-17,11:12,Periyanaickenpalayam,10.947813940171402,76.93530105701026,Bus,Fog,State Highway,Serious,Sunday,November,11,0
2024-03-22,17:48,Sathy Road,11.01586445075166,76.90118526046773,Two-Wheeler,Rain,National Highway,Fatal,Friday,March,17,1
2024-12-14,20:43,Mettupalayam Road,11.042711916266718,77.00562741506378,Two-Wheeler,Clear,State Highway,Minor,Saturday,December,20,0
2024-08-04,20:06,Peelamedu,11.021735556775287,76.95068765036125,Truck,Clear,State Highway,Minor,Sunday,August,20,0
2024-11-01,23:02,Periyanaickenpalayam,10.97494060489568,76.95896507009715,Car/SUV,Fog,State Highway,Minor,Friday,November,23,0
2024-02-02,10:02,Brookefields,11.004271103786206,77.01299492964836,Two-Wheeler,Clear,State Highway,Serious,Friday,February,10,0
2024-07-16,17:08,Thudiyalur,11.098241542210497,77.0073242598485,Car/SUV,Clear,State Highway,Fatal,Tuesday,July,17,1
2024-07-14,07:20,Trichy Road,11.012322273034444,77.00030207026958,Two-Wheeler,Rain,State Highway,Serious,Sunday,July,7,0
2024-11-01,18:12,Singanallur,10.946521307730952,76.9480802274535,Car/SUV,Clear,State Highway,Fatal,Friday,November,18,1
2024-08-27,08:56,Brookefields,10.942357949668637,77.01418297767323,Car/SUV,Clear,City Roads,Fatal,Tuesday,August,8,1
2024-09-27,23:32,Singanallur,11.097380723733318,76.91841496669919,Two-Wheeler,Clear,Village Roads,Minor,Friday,September,23,0
2024-05-08,21:16,Race Course Road,11.085107590855142,76.89336931041001,Two-Wheeler,Rain,State Highway,Minor,Wednesday,May,21,0
2024-10-10,22:51,Race Course Road,11.021418411403495,77.00982621320178,Two-Wheeler,Clear,State Highway,Serious,Thursday,October,22,0
2024-01-06,10:51,Trichy Road,10.975896326781118,76.99538825382245,Car/SUV,Clear,State Highway,Serious,Saturday,January,10,0
2024-12-14,06:09,Singanallur,10.926345654879501,76.8977169507007,Truck,Cloudy,National Highway,Fatal,Saturday,December,6,1
2024-02-28,18:55,Singanallur,10.93210650394753,76.94579438710949,Two-Wheeler,Fog,National Highway,Serious,Wednesday,February,18,0
2024-12-15,20:25,Singanallur,10.925818980731687,76.96748936346486,Car/SUV,Rain,State Highway,Minor,Sunday,December,20,0
2024-10-01,23:23,Cross Cut Road,10.938326434288399,76.93074003346406,Two-Wheeler,Clear,State Highway,Fatal,Tuesday,October,23,1
2024-05-16,07:00,Periyanaickenpalayam,11.001782704241602,76.97130168972276,Auto-Rickshaw,Cloudy,Village Roads,Fatal,Thursday,May,7,1
2024-11-24,09:29,Karamadai,10.935696872497584,76.88146912815805,Two-Wheeler,Cloudy,National Highway,Serious,Sunday,November,9,0
2024-06-23,11:43,Thudiyalur,11.048971050787435,77.04447080023557,Car/SUV,Clear,National Highway,Minor,Sunday,June,11,0
2024-02-27,10:52,Cross Cut Road,11.030495642073191,76.8577362308082,Two-Wheeler,Clear,National Highway,Fatal,Tuesday,February,10,1
2024-05-30,16:06,Race Course Road,10.967476066213038,77.01788027699418,Two-Wheeler,Clear,State Highway,Fatal,Thursday,May,16,1
2024-08-10,19:01,Periyanaickenpalayam,10.967772040870141,77.02265977631012,Auto-Rickshaw,Rain,State Highway,Fatal,Saturday,August,19,1
2024-03-21,17:20,Thudiyalur,10.933153912306796,76.92376444837076,Auto-Rickshaw,Rain,National Highway,Serious,Thursday,March,17,0
2024-08-20,21:41,Karanampettai,11.017488913488789,76.9396294631626,Car/SUV,Clear,State Highway,Fatal,Tuesday,August,21,1
2024-01-02,03:58,Trichy Road,10.939587098199897,76.99295256117675,Auto-Rickshaw,Rain,State Highway,Serious,Tuesday,January,3,0
2024-05-14,20:26,Pollachi Road,11.049115664683102,76.93647374343104,Truck,Rain,City Roads,Minor,Tuesday,May,20,0
2024-09-13,06:02,Singanallur,10.952710439172652,77.01152868092436,Two-Wheeler,Rain,State Highway,Fatal,Friday,September,6,1
2024-04-01,10:07,Thudiyalur,10.953241626910732,76.96332080127543,Two-Wheeler,Fog,State Highway,Minor,Monday,April,10,0
2024-09-16,08:08,Sathy Road,10.995391467507568,76.9210159029051,Two-Wheeler,Clear,State Highway,Serious,Monday,September,8,0
2024-02-24,13:42,Sathy Road,10.933458113026994,76.8604479680651,Truck,Clear,National Highway,Minor,Saturday,February,13,0
2024-11-16,23:34,Trichy Road,11.0921510694271,77.01287156215938,Two-Wheeler,Clear,State Highway,Minor,Saturday,November,23,0
2024-06-01,14:46,Thudiyalur,10.976329503157654,77.04022883810272,Two-Wheeler,Clear,State Highway,Serious,Saturday,June,14,0
2024-11-23,07:41,Thudiyalur,11.034241677636048,76.8865382478971,Two-Wheeler,Clear,State Highway,Fatal,Saturday,November,7,1
2024-09-16,07:39,Mettupalayam Road,11.007799629732004,77.04632750914433,Car/SUV,Clear,National Highway,Fatal,Monday,September,7,1
2024-11-07,13:02,Cross Cut Road,11.050851973298114,76.92185010564356,Auto-Rickshaw,Cloudy,State Highway,Minor,Thursday,November,13,0
2024-04-11,18:28,Pollachi Road,11.041562078833334,76.98176786141268,Two-Wheeler,Clear,National Highway,Fatal,Thursday,April,18,1
2024-03-19,12:54,Avinashi Road,10.969814877947172,76.97640055719874,Bus,Cloudy,City Roads,Serious,Tuesday,March,12,0
2024-07-10,11:23,Sathy Road,11.110143925354052,76.97736745429914,Pedestrian,Clear,State Highway,Minor,Wednesday,July,11,0
2024-03-23,17:22,Brookefields,11.091068963649878,77.02918895110918,Pedestrian,Clear,State Highway,Minor,Saturday,March,17,0
2024-10-03,02:12,Avinashi Road,10.954238346760077,77.05183442308503,Two-Wheeler,Clear,State Highway,Fatal,Thursday,October,2,1
2024-09-28,22:05,Peelamedu,10.953817478165359,76.89664092370971,Car/SUV,Clear,State Highway,Serious,Saturday,September,22,0
2024-01-01,17:40,Sathy Road,11.066205863854567,76.93392722930865,Two-Wheeler,Clear,State Highway,Minor,Monday,January,17,0
2024-11-02,15:03,Thudiyalur,11.03761057467955,76.96269811615115,Bus,Clear,State Highway,Fatal,Saturday,November,15,1
2024-06-14,18:08,Cross Cut Road,11.091123158969594,76.89346773562845,Two-Wheeler,Clear,State Highway,Minor,Friday,June,18,0
2024-09-07,18:04,Avinashi Road,10.93806613174945,76.87752767121917,Car/SUV,Clear,State Highway,Serious,Saturday,September,18,0
2024-01-10,20:13,Pollachi Road,11.023675200596326,76.96970300238421,Two-Wheeler,Clear,State Highway,Minor,Wednesday,January,20,0
2024-02-27,15:21,Periyanaickenpalayam,10.917969413916667,76.9461070653066,Two-Wheeler,Rain,State Highway,Minor,Tuesday,February,15,0
2024-07-04,20:00,Race Course Road,10.940135652073181,77.03474875899649,Car/SUV,Rain,State Highway,Fatal,Thursday,July,20,1
2024-06-06,09:08,Cross Cut Road,10.951147070240678,76.8744483013204,Two-Wheeler,Clear,City Roads,Fatal,Thursday,June,9,1
2024-05-02,15:07,Karamadai,11.012223974782472,76.87666263548566,Car/SUV,Rain,National Highway,Serious,Thursday,May,15,0
2024-01-30,15:08,Pollachi Road,11.055161245997386,76.96638135506159,Car/SUV,Rain,State Highway,Serious,Tuesday,January,15,0
2024-05-03,01:37,Trichy Road,11.090556104197676,76.86221183082233,Car/SUV,Clear,National Highway,Minor,Friday,May,1,0
2024-10-17,09:16,Race Course Road,11.109960761511694,76.99360490994954,Car/SUV,Clear,National Highway,Minor,Thursday,October,9,0
2024-02-10,05:26,Race Course Road,11.037177488025891,76.95352266451543,Truck,Clear,State Highway,Serious,Saturday,February,5,0
2024-02-13,17:04,Sathy Road,11.014144498787521,76.89313842104524,Two-Wheeler,Clear,State Highway,Serious,Tuesday,February,17,0
2024-09-05,13:32,Singanallur,11.040499874897499,76.86969820711515,Auto-Rickshaw,Clear,State Highway,Minor,Thursday,September,13,0
2024-02-05,16:32,Sathy Road,11.111584378434337,77.04839891120477,Truck,Rain,State Highway,Serious,Monday,February,16,0
2024-09-29,11:02,Cross Cut Road,10.988945756618175,76.91256352412387,Two-Wheeler,Clear,State Highway,Fatal,Sunday,September,11,1
2024-03-05,20:33,Singanallur,11.051560628585728,76.90240788519844,Two-Wheeler,Clear,State Highway,Minor,Tuesday,March,20,0
2024-03-06,11:01,Karanampettai,11.054858670871113,76.98771397864282,Two-Wheeler,Clear,State Highway,Fatal,Wednesday,March,11,1
2024-12-03,03:54,Singanallur,10.995799447531462,76.8697958865265,Two-Wheeler,Rain,State Highway,Minor,Tuesday,December,3,0
2024-08-31,14:06,Thudiyalur,10.977331331729346,76.8672906361232,Two-Wheeler,Clear,State Highway,Serious,Saturday,August,14,0
2024-10-08,13:04,Singanallur,10.941817897986045,76.95950633603788,Bus,Clear,State Highway,Minor,Tuesday,October,13,0
2024-03-25,22:38,Thudiyalur,10.919575183604362,76.89016514336879,Auto-Rickshaw,Rain,State Highway,Minor,Monday,March,22,0
2024-05-15,06:17,Mettupalayam Road,10.939182500493478,77.02774146947534,Pedestrian,Clear,National Highway,Minor,Wednesday,May,6,0
2024-09-27,17:35,Trichy Road,10.919977049303103,76.93797224686013,Two-Wheeler,Rain,State Highway,Fatal,Friday,September,17,1
2024-11-06,19:38,Cross Cut Road,11.110904072732062,76.88720709100603,Truck,Clear,City Roads,Minor,Wednesday,November,19,0
2024-08-04,16:32,Thudiyalur,11.08860240605297,76.87794878965785,Bus,Rain,State Highway,Minor,Sunday,August,16,0
2024-04-18,15:50,Thudiyalur,10.9586458960669,76.96309060384394,Truck,Rain,State Highway,Minor,Thursday,April,15,0
2024-10-03,20:41,Karanampettai,11.046524644340804,76.95145022847524,Two-Wheeler,Rain,State Highway,Serious,Thursday,October,20,0
